City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Veraval,IN,2021-04-05 04:51:08,20.9,70.3667,85.37,54,0,8.68,clear sky
151,Codo,BR,2021-04-05 04:51:08,-4.4553,-43.8856,73.33,96,94,2.64,overcast clouds
152,Nikolskoye,RU,2021-04-05 04:51:08,59.7035,30.7861,37.99,70,75,8.95,broken clouds
153,Sampit,ID,2021-04-05 04:51:09,-2.5333,112.95,95.04,40,88,4.59,overcast clouds
154,Mandalgovi,MN,2021-04-05 04:51:09,45.7625,106.2708,47.08,16,67,3.69,broken clouds
155,Tasiilaq,GL,2021-04-05 04:51:09,65.6145,-37.6368,19.4,86,90,3.44,light snow
156,Bismarck,US,2021-04-05 04:51:09,46.8083,-100.7837,52.0,35,1,10.36,clear sky
157,Castro,BR,2021-04-05 04:51:10,-24.7911,-50.0119,54.64,98,67,6.33,broken clouds
158,Barretos,BR,2021-04-05 04:50:14,-20.5572,-48.5678,69.35,70,70,8.93,broken clouds
159,Los Llanos De Aridane,ES,2021-04-05 04:51:10,28.6585,-17.9182,64.4,63,90,1.14,overcast clouds
160,Deneysville,ZA,2021-04-05 04:51:10,-26.8908,28.0971,56.79,54,0,1.23,clear sky
161,Petropavlovsk-Kamchatskiy,RU,2021-04-05 04:51:10,53.0452,158.6483,37.4,56,75,6.71,broken clouds
162,Gat,IL,2021-04-05 04:49:03,31.61,34.7642,59.0,71,0,3.44,clear sky
163,Alofi,NU,2021-04-05 04:51:11,-19.0595,-169.9187,77.0,88,100,9.22,light rain
164,Vondrozo,MG,2021-04-05 04:51:11,-22.8167,47.2833,70.92,77,7,7.23,clear sky
165,Codrington,AU,2021-04-05 04:51:11,-38.2667,141.9667,63.18,57,8,12.24,clear sky
166,Milkovo,RU,2021-04-05 04:51:12,54.7167,158.6167,34.88,68,92,7.09,overcast clouds
167,Namibe,AO,2021-04-05 04:51:12,-15.1961,12.1522,79.25,79,45,6.6,scattered clouds
168,Taoudenni,ML,2021-04-05 04:51:12,22.6783,-3.9836,77.99,9,82,8.99,broken clouds
169,Miri,MY,2021-04-05 04:51:12,4.4148,114.0089,82.4,78,40,9.22,light rain
170,Abalak,RU,2021-04-05 04:51:13,58.1286,68.5944,37.4,82,99,9.19,overcast clouds
171,Isangel,VU,2021-04-05 04:51:13,-19.55,169.2667,82.4,65,75,14.97,broken clouds
172,Crowley,US,2021-04-05 04:51:13,30.2141,-92.3746,57.0,87,13,4.25,few clouds
173,Komsomolskiy,UZ,2021-04-05 04:51:13,40.4272,71.7189,51.8,71,40,1.39,scattered clouds
174,Pangnirtung,CA,2021-04-05 04:51:14,66.1451,-65.7125,1.8,68,63,7.85,broken clouds
175,Broome,US,2021-04-05 04:51:14,42.2506,-75.833,41.0,56,1,4.61,clear sky
176,Daru,PG,2021-04-05 04:51:14,-9.0763,143.2092,81.19,83,97,4.38,overcast clouds
177,Torbay,CA,2021-04-05 04:51:14,47.6666,-52.7314,39.0,100,90,11.5,fog
178,Ati,TD,2021-04-05 04:51:15,13.2154,18.3353,76.68,15,25,10.25,scattered clouds
179,Griffith,US,2021-04-05 04:51:15,41.5284,-87.4237,64.4,55,1,6.91,clear sky
180,San Pedro,PH,2021-04-05 04:51:15,14.35,121.0167,89.6,58,20,5.75,few clouds
181,Erenhot,CN,2021-04-05 04:51:15,43.6475,111.9767,52.27,9,99,2.48,overcast clouds
182,Clyde River,CA,2021-04-05 04:51:16,70.4692,-68.5914,-14.8,76,20,3.44,few clouds
